"CountryName","RegionName","SumCases","SumCost","AvgCases","AvgCost","PrescriptionIndex"
"Ireland","",141602.029924189,1629.45,1573.35588804655,18.105,6
"Israel","",282081.044462703,1614.15,3134.23382736337,17.935,6
"Italy","",3941152.2481385,1855.35,43790.5805348722,20.615,6
"Jamaica","",334020.581603883,3075.3,3711.3397955987,34.17,6
"Japan","",17532119.3057792,1644.75,194801.325619769,18.275,6
"Jordan","",719551.197151608,3024,7995.01330168453,33.6,6
"Kazakhstan","",2055389.67792985,2992.5,22837.6630881095,33.25,6
"Kenya","",6268468.18008556,3204.9,69649.6464453951,35.61,6
"Kosovo","",141091.402124614,2542.95,1567.68224582905,28.255,6
"Kuwait","",282876.259173678,3084.3,3143.0695463742,34.27,6
"Kyrgyz Republic","",638339.061535869,3152.7,7092.65623928744,35.03,6
"Laos","",0,0,0,0,6
"Latvia","",138359.788437559,1487.25,1537.33098263954,16.525,6
"Lebanon","",381787.822525382,1561.95,4242.08691694869,17.355,6
"Lesotho","",129026.592134673,1533.15,1433.62880149637,17.035,6
"Liberia","",0,0,0,0,6
"Libya","",687250.198873732,3078.9,7636.11332081924,34.21,6
"Lithuania","",92248.1708354861,1518.75,1024.97967594985,16.875,6
"Luxembourg","",12227.3776065907,1592.1,135.859751184342,17.69,6
"Macao","",0,0,0,0,6
"Madagascar","",1905487.51079888,3239.1,21172.0834533209,35.99,6
"Malawi","",2674641.35790264,2296.8,29718.2373100293,25.52,6
"Malaysia","",3877534.23593059,3053.7,43083.7137325621,33.93,6
"Mali","",1966745.21527319,3078.9,21852.7246141465,34.21,6
"Mauritania","",568245.333336557,2962.8,6313.83703707285,32.92,6
"Mauritius","",163700.062249949,3086.1,1818.88958055499,34.29,6
"Mexico","",13628299.8967681,2841.3,151425.554408534,31.57,6
"Moldova","",76349.9575370432,3276,848.332861522702,36.4,6
"Monaco","",2526.73657447276,1544.85,28.0748508274751,17.165,6
"Mongolia","",402242.904993191,3063.6,4469.36561103546,34.04,6
"Morocco","",3864537.45307756,3089.7,42939.3050341952,34.33,6
"Mozambique","",4209262.66085006,2916,46769.5851205562,32.4,6
"Myanmar","",6250321.0314921,3141,69448.0114610234,34.9,6
"Namibia","",299612.096980305,1580.4,3329.02329978116,17.56,6
"Nepal","",2904219.66510882,2958.3,32269.107390098,32.87,6
"Netherlands","",656459.74260209,2412.45,7293.99714002322,26.805,6
"New Zealand","",558319.303002602,3396.6,6203.54781114002,37.74,6
"Nicaragua","",715647.015944347,2853.9,7951.63351049275,31.71,6
"Niger","",2822593.63536039,2822.4,31362.1515040043,31.36,6
"Nigeria","",26120132.6204707,2828.7,290223.695783008,31.43,6
"Norway","",615525.014596628,1631.25,6839.16682885142,18.125,6
"Oman","",451321.622822041,2736,5014.68469802268,30.4,6
"Pakistan","",26353821.4744338,3164.4,292820.23860482,35.16,6
"Palestine","",309180.427459506,3346.2,3435.3380828834,37.18,6
"Panama","",116428.57426557,1583.55,1293.650825173,17.595,6
"Papua New Guinea","",188243.33809306,3437.1,2091.59264547845,38.19,6
"Paraguay","",773661.684461398,1644.75,8596.24093845998,18.275,6
"Peru","",1984198.69239017,2922.3,22046.6521376685,32.47,6
"Philippines","",12873024.2294822,3148.2,143033.602549803,34.98,6
"Poland","",2507713.2405671,1887.75,27863.4804507456,20.975,6
"Portugal","",402610.004281233,1621.8,4473.4444920137,18.02,6
"Puerto Rico","",222949.069763875,1995.75,2477.21188626528,22.175,6
"Qatar","",96469.1646447437,3150,1071.87960716382,35,6
"Romania","",1231416.9206226,2481.3,13682.41022914,27.57,6
"Russia","",12535594.331584,2973.6,139284.381462045,33.04,6
"Rwanda","",1619128.90871959,2849.4,17990.3212079954,31.66,6
"San Marino","",985.832663212993,1657.8,10.9536962579221,18.42,6
"Saudi Arabia","",2406548.22696614,3096.9,26739.4247440682,34.41,6
"Senegal","",2066536.09800281,3091.5,22961.5122000313,34.35,6
"Serbia","",476542.20562347,2561.4,5294.91339581634,28.46,6
"Seychelles","",12481.6672096921,3062.7,138.685191218802,34.03,6
"Sierra Leone","",974051.67181281,3083.4,10822.7963534757,34.26,6
"Singapore","",568399.851848834,3017.7,6315.55390943149,33.53,6
"Slovak Republic","",327928.002330656,1547.55,3643.64447034062,17.195,6
"Slovenia","",60146.3824006047,1453.5,668.293137784496,16.15,6
"Solomon Islands","",0,0,0,0,6
"Somalia","",297780.517963814,2989.8,3308.67242182015,33.22,6
"South Africa","",5267443.79611288,1468.35,58527.1532901431,16.315,6
"South Korea","",6232081.11828685,3033,69245.3457587428,33.7,6
"South Sudan","",1453813.82454331,3200.4,16153.4869393701,35.56,6
"Spain","",2721531.88514735,1622.25,30239.2431683039,18.025,6
"Sri Lanka","",2627957.84072949,3061.8,29199.531563661,34.02,6
"Sudan","",0,0,0,0,6
"Suriname","",65365.3935549024,1629.9,726.282150610027,18.11,6
"Sweden","",544827.635959212,1566,6053.6403995468,17.4,6
"Switzerland","",353567.357873301,1565.1,3928.52619859223,17.39,6
"Syria","",2041412.8720428,3247.2,22682.36524492,36.08,6
"Taiwan","",481845.602129255,3255.3,5353.84002365838,36.17,6
"Tajikistan","",132237.213071497,3052.8,1469.30236746108,33.92,6
"Tanzania","",0,0,0,0,6
"Thailand","",8174193.34068583,2979.9,90824.3704520648,33.11,6
"Timor-Leste","",63911.459653142,3235.5,710.127329479356,35.95,6
"Togo","",1102251.79806791,3114,12247.2422007545,34.6,6
"Trinidad and Tobago","",163690.407347557,3022.2,1818.78230386174,33.58,6
"Tunisia","",1309661.42448991,1576.8,14551.7936054434,17.52,6
"Turkey","",6422982.02867296,3215.7,71366.4669852551,35.73,6
"Uganda","",5217538.923604,3065.4,57972.6547067111,34.06,6
"Ukraine","",3448952.8109475,2916,38321.6978994166,32.4,6
"United Arab Emirates","",859809.338367864,1497.6,9553.43709297626,16.64,6
"United Kingdom","",2750259.42354862,1569.6,30558.4380394291,17.44,6
"United Kingdom","England",2457013.75021542,1560.15,27300.1527801714,17.335,6
"United Kingdom","Northern Ireland",80045.9152873055,1610.55,889.399058747839,17.895,6
"United Kingdom","Scotland",420782.260748364,1535.4,4675.3584527596,17.06,6
"United Kingdom","Wales",109999.966259583,1482.75,1222.2218473287,16.475,6
"United States","",8346164.67430016,1499.4,92735.1630477796,16.66,6
"United States","Alabama",93701.626095489,1392.3,1041.12917883877,15.47,6
"United States","Alaska",18489.1218169174,1710.9,205.434686854637,19.01,6
"United States","Arizona",124067.663149154,1620,1378.52959054615,18,6
"United States","Arkansas",49364.7581998583,1510.65,548.497313331759,16.785,6
"United States","California",897793.365977323,1548.9,9975.48184419248,17.21,6
"United States","Colorado",172144.498236639,1490.85,1912.71664707377,16.565,6
"United States","Connecticut",138554.92190538,1653.75,1539.499132282,18.375,6
"United States","Delaware",25599.4409601552,1450.8,284.438232890613,16.12,6
"United States","Florida",570756.886228899,1491.75,6341.7431803211,16.575,6
"United States","Georgia",260935.796761283,1489.95,2899.28663068093,16.555,6
"United States","Hawaii",144702.663622736,1762.65,1607.80737358596,19.585,6
