"","date","cases","deaths","cum_cases","cum_deaths","cases_active","cases_infect","cases_symptom","p_cases","p_cases_daily","p_cases_active","p_infect","p_symptom","population"
"23","2020/05/23",210,0,2350,44,1738,1738,2120,0.000252118249252255,2.2529715890627e-05,0.000186460220085285,0.000186460220085285,0.000227442846133949,9321023
"24","2020/05/24",201,0,2551,44,1890,1890,2258,0.000273682405890426,2.15641566381716e-05,0.000202767443015643,0.000202767443015643,0.000242248088004932,9321023
"25","2020/05/25",187,0,2738,44,2009,2009,2359,0.000293744581469223,2.00621755787964e-05,0.000215534282020332,0.000215534282020332,0.00025308380850471,9321023
"26","2020/05/26",362,2,3100,46,2299,2299,2639,0.000332581520290208,3.88369388209856e-05,0.000246646746821674,0.000246646746821674,0.000283123429692213,9321023
"27","2020/05/27",0,0,3100,46,2193,2193,2578,0.000332581520290208,0,0.000235274604514977,0.000235274604514977,0.000276579083647793,9321023
"28","2020/05/28",0,0,3100,46,1982,1982,2488,0.000332581520290208,0,0.000212637604262966,0.000212637604262966,0.000266923491123238,9321023
"29","2020/05/29",463,1,3563,47,2241,2241,2951,0.000382254179610972,4.96726593207634e-05,0.000240424253861406,0.000240424253861406,0.000316596150444002,9321023
"30","2020/05/30",0,0,3563,47,2039,2039,2902,0.000382254179610972,0,0.00021875281286185,0.00021875281286185,0.000311339216736189,9321023
"31","2020/05/31",244,0,3807,47,2078,2078,3078,0.000408431563788653,2.61773841776809e-05,0.000222936902955824,0.000222936902955824,0.000330221264339762,9321023
"32","2020/06/01",0,0,3807,47,2078,2078,3006,0.000408431563788653,0,0.000222936902955824,0.000222936902955824,0.000322496790320118,9321023
"33","2020/06/02",123,0,3930,47,1994,1994,3023,0.000421627540238877,1.31959764502244e-05,0.000213925016599573,0.000213925016599573,0.000324320624463645,9321023
"34","2020/06/03",83,0,4013,47,1873,1873,2895,0.000430532142233744,8.90460199486687e-06,0.000200943608872116,0.000200943608872116,0.000310588226206501,9321023
"35","2020/06/04",87,0,4100,47,1750,1750,2778,0.000439865881674147,9.33373944040263e-06,0.000187747632421892,0.000187747632421892,0.00029803595592458,9321023
"36","2020/06/05",189,1,4289,48,1738,1738,2765,0.000460142625975711,2.02767443015643e-05,0.000186460220085285,0.000186460220085285,0.000296641259226589,9321023
"37","2020/06/06",81,0,4370,48,1632,1632,2641,0.00046883265924781,8.690033272099e-06,0.000175088077778587,0.000175088077778587,0.000283337998414981,9321023
"38","2020/06/07",83,0,4453,48,1353,1353,2724,0.000477737261242677,8.90460199486687e-06,0.000145155740952468,0.000145155740952468,0.000292242600409848,9321023
"39","2020/06/08",76,0,4529,48,1429,1429,2593,0.000485890872707856,8.1536114651793e-06,0.000153309352417648,0.000153309352417648,0.000278188349068552,9321023
"40","2020/06/09",80,0,4609,48,1509,1509,2469,0.000494473621618571,8.58274891071506e-06,0.000161892101328363,0.000161892101328363,0.000264885088256943,9321023
"41","2020/06/10",81,0,4690,48,1127,1127,2340,0.00050316365489067,8.690033272099e-06,0.000120909475279698,0.000120909475279698,0.000251045405638415,9321023
"42","2020/06/11",73,0,4763,48,1200,1200,2212,0.000510995413271698,7.83175838102749e-06,0.000128741233660726,0.000128741233660726,0.000237313007381271,9321023
"43","2020/06/12",71,1,4834,49,1027,1027,2096,0.000518612602929957,7.61718965825961e-06,0.000110181039141305,0.000110181039141305,0.000224868021460735,9321023
"44","2020/06/13",68,0,4902,49,1095,1095,1802,0.000525907939504065,7.2953365741078e-06,0.000117476375715412,0.000117476375715412,0.000193326419213857,9321023
