"","date","cases","deaths","cum_cases","cum_deaths","cases_active","cases_infect","cases_symptom","p_cases","p_cases_daily","p_cases_active","p_infect","p_symptom","population"
"61","2020/05/05",6,1,1445,97,92,92,177,0.000694408402485838,2.88335668852251e-06,4.42114692240118e-05,4.42114692240118e-05,8.50590223114141e-05,2080908
"62","2020/05/06",3,1,1448,98,82,82,144,0.000695850080830099,1.44167834426126e-06,3.9405874743141e-05,3.9405874743141e-05,6.92005605245403e-05,2080908
"63","2020/05/07",1,1,1449,99,76,76,132,0.000696330640278186,4.80559448087085e-07,3.65225180546185e-05,3.65225180546185e-05,6.34338471474952e-05,2080908
"64","2020/05/08",1,0,1450,99,62,62,120,0.000696811199726273,4.80559448087085e-07,2.97946857813993e-05,2.97946857813993e-05,5.76671337704502e-05,2080908
"65","2020/05/09",4,1,1454,100,47,47,119,0.000698733437518622,1.92223779234834e-06,2.2586294060093e-05,2.2586294060093e-05,5.71865743223631e-05,2080908
"66","2020/05/10",3,1,1457,101,50,50,117,0.000700175115862883,1.44167834426126e-06,2.40279724043543e-05,2.40279724043543e-05,5.6225455426189e-05,2080908
"67","2020/05/11",3,1,1460,102,52,52,107,0.000701616794207144,1.44167834426126e-06,2.49890913005284e-05,2.49890913005284e-05,5.14198609453181e-05,2080908
"68","2020/05/12",1,0,1461,102,43,43,95,0.000702097353655231,4.80559448087085e-07,2.06640562677447e-05,2.06640562677447e-05,4.56531475682731e-05,2080908
"69","2020/05/13",2,0,1463,102,34,34,90,0.000703058472551405,9.6111889617417e-07,1.63390212349609e-05,1.63390212349609e-05,4.32503503278377e-05,2080908
"70","2020/05/14",1,1,1464,103,30,30,76,0.000703539031999493,4.80559448087085e-07,1.44167834426126e-05,1.44167834426126e-05,3.65225180546185e-05,2080908
"71","2020/05/15",1,0,1465,103,26,26,58,0.00070401959144758,4.80559448087085e-07,1.24945456502642e-05,1.24945456502642e-05,2.78724479890509e-05,2080908
"72","2020/05/16",0,0,1465,103,26,26,58,0.00070401959144758,0,1.24945456502642e-05,1.24945456502642e-05,2.78724479890509e-05,2080908
"73","2020/05/17",1,0,1466,103,21,21,58,0.000704500150895667,4.80559448087085e-07,1.00917484098288e-05,1.00917484098288e-05,2.78724479890509e-05,2080908
"74","2020/05/18",0,1,1466,104,18,18,48,0.000704500150895667,0,8.65007006556753e-06,8.65007006556753e-06,2.30668535081801e-05,2080908
"75","2020/05/19",1,0,1467,104,18,18,38,0.000704980710343754,4.80559448087085e-07,8.65007006556753e-06,8.65007006556753e-06,1.82612590273092e-05,2080908
"76","2020/05/20",1,0,1468,104,18,18,34,0.000705461269791841,4.80559448087085e-07,8.65007006556753e-06,8.65007006556753e-06,1.63390212349609e-05,2080908
"77","2020/05/21",0,2,1468,106,14,14,29,0.000705461269791841,0,6.72783227321919e-06,6.72783227321919e-06,1.39362239945255e-05,2080908
"78","2020/05/22",0,0,1468,106,11,11,29,0.000705461269791841,0,5.28615392895794e-06,5.28615392895794e-06,1.39362239945255e-05,2080908
"79","2020/05/23",0,0,1468,106,8,8,23,0.000705461269791841,0,3.84447558469668e-06,3.84447558469668e-06,1.1052867306003e-05,2080908
"80","2020/05/24",0,0,1468,106,7,7,20,0.000705461269791841,0,3.3639161366096e-06,3.3639161366096e-06,9.6111889617417e-06,2080908
"81","2020/05/25",1,0,1469,106,6,6,20,0.000705941829239928,4.80559448087085e-07,2.88335668852251e-06,2.88335668852251e-06,9.6111889617417e-06,2080908
"82","2020/05/26",0,0,1469,106,5,5,19,0.000705941829239928,0,2.40279724043543e-06,2.40279724043543e-06,9.13062951365462e-06,2080908
"83","2020/05/27",0,0,1469,106,4,4,15,0.000705941829239928,0,1.92223779234834e-06,1.92223779234834e-06,7.20839172130628e-06,2080908
"84","2020/05/28",2,1,1471,107,6,6,14,0.000706902948136102,9.6111889617417e-07,2.88335668852251e-06,2.88335668852251e-06,6.72783227321919e-06,2080908
"85","2020/05/29",2,1,1473,108,7,7,13,0.000707864067032276,9.6111889617417e-07,3.3639161366096e-06,3.3639161366096e-06,6.24727282513211e-06,2080908
"86","2020/05/30",0,0,1473,108,7,7,12,0.000707864067032276,0,3.3639161366096e-06,3.3639161366096e-06,5.76671337704502e-06,2080908
"87","2020/05/31",0,0,1473,108,6,6,10,0.000707864067032276,0,2.88335668852251e-06,2.88335668852251e-06,4.80559448087085e-06,2080908
