"","date","cases","deaths","cum_cases","cum_deaths","cases_active","cases_infect","cases_symptom","p_cases","p_cases_daily","p_cases_active","p_infect","p_symptom","population"
"55","2020/02/23",10,1,28,5,28,28,28,3.3769973869156e-07,1.206070495327e-07,3.3769973869156e-07,3.3769973869156e-07,3.3769973869156e-07,82913893
"56","2020/02/24",15,3,43,8,43,43,43,5.18610312990611e-07,1.8091057429905e-07,5.18610312990611e-07,5.18610312990611e-07,5.18610312990611e-07,82913893
"57","2020/02/25",18,4,61,12,61,61,61,7.35703002149471e-07,2.1709268915886e-07,7.35703002149471e-07,7.35703002149471e-07,7.35703002149471e-07,82913893
"58","2020/02/26",34,3,95,15,95,95,95,1.14576697056065e-06,4.1006396841118e-07,1.14576697056065e-06,1.14576697056065e-06,1.14576697056065e-06,82913893
"59","2020/02/27",44,4,139,19,139,139,139,1.67643798850453e-06,5.30671017943881e-07,1.67643798850453e-06,1.67643798850453e-06,1.67643798850453e-06,82913893
"60","2020/02/28",106,7,245,26,245,245,245,2.95487271355115e-06,1.27843472504662e-06,2.95487271355115e-06,2.95487271355115e-06,2.95487271355115e-06,82913893
"61","2020/02/29",143,8,388,34,388,388,388,4.67955352186877e-06,1.72468080831761e-06,4.67955352186877e-06,4.67955352186877e-06,4.67955352186877e-06,82913893
"62","2020/03/01",205,9,593,43,593,593,593,7.15199803728912e-06,2.47244451542035e-06,7.15199803728912e-06,7.15199803728912e-06,7.15199803728912e-06,82913893
"63","2020/03/02",385,11,978,54,978,978,978,1.17953694442981e-05,4.64337140700896e-06,1.17953694442981e-05,1.17953694442981e-05,1.17953694442981e-05,82913893
"64","2020/03/03",523,12,1501,66,1499,1499,1501,1.81031181348583e-05,6.30774869056022e-06,1.80789967249518e-05,1.80789967249518e-05,1.81031181348583e-05,82913893
"65","2020/03/04",835,11,2336,77,2331,2331,2336,2.81738067708388e-05,1.00706886359805e-05,2.81135032460724e-05,2.81135032460724e-05,2.81738067708388e-05,82913893
"66","2020/03/05",586,15,2922,92,2904,2904,2922,3.5241379873455e-05,7.06757310261623e-06,3.50242871842961e-05,3.50242871842961e-05,3.5241379873455e-05,82913893
"67","2020/03/06",591,15,3513,107,3485,3485,3513,4.23692565008376e-05,7.12787662738258e-06,4.2031556762146e-05,4.2031556762146e-05,4.23692565008376e-05,82913893
"68","2020/03/07",1234,17,4747,124,4704,4704,4747,5.72521664131728e-05,1.48829099123352e-05,5.67335561001822e-05,5.67335561001822e-05,5.72521664131728e-05,82913893
"69","2020/03/08",1076,21,5823,145,5762,5762,5823,7.02294849428913e-05,1.29773185297185e-05,6.94937819407418e-05,6.94937819407418e-05,7.02294849428913e-05,82913893
"70","2020/03/09",743,49,6566,194,6471,6471,6564,7.91905887231709e-05,8.96110378027962e-06,7.80448217526103e-05,7.80448217526103e-05,7.91664673132644e-05,82913893
"71","2020/03/10",595,43,7161,237,7022,7022,7156,8.63667081703666e-05,7.17611944719566e-06,8.4690270181862e-05,8.4690270181862e-05,8.63064046456002e-05,82913893
"72","2020/03/11",881,54,8042,291,7797,7797,8024,9.69921892341975e-05,1.06254810638309e-05,9.40373165206463e-05,9.40373165206463e-05,9.67750965450386e-05,82913893
"73","2020/03/12",958,63,9000,354,8612,8612,8972,0.00010854634457943,1.15541553452327e-05,0.000103866791057561,0.000103866791057561,0.000108208644840739,82913893
"74","2020/03/13",1075,75,10075,429,9482,9482,10032,0.000121511602404195,1.29652578247653e-05,0.000114359604366906,0.000114359604366906,0.000120992992091205,82913893
"75","2020/03/14",1289,85,11364,514,10386,10386,11303,0.00013705785108896,1.5546248684765e-05,0.000125262481644662,0.000125262481644662,0.000136322148086811,82913893
"76","2020/03/15",1365,97,12729,611,11228,11228,12634,0.000153520713350174,1.64628622612136e-05,0.000135417595215316,0.000135417595215316,0.000152374946379613,82913893
"77","2020/03/16",1209,113,13938,724,11602,11602,13799,0.000168102105638677,1.45813922885034e-05,0.000139928298867839,0.000139928298867839,0.000166425667650173,82913893
"78","2020/03/17",1053,129,14991,853,12069,12069,14746,0.000180802027954471,1.26999223157933e-05,0.000145560648081016,0.000145560648081016,0.00017784715524092,82913893
"79","2020/03/18",1178,135,16169,988,12656,12656,15781,0.000195009538389423,1.42075104349521e-05,0.000152640281888585,0.000152640281888585,0.000190329984867554,82913893
"80","2020/03/19",1192,147,17361,1135,12614,12614,16768,0.000209385898693721,1.43763603042979e-05,0.000152133732280548,0.000152133732280548,0.000202233900656432,82913893
"81","2020/03/20",1046,149,18407,1284,12584,12584,17429,0.000222001396074841,1.26154973811204e-05,0.00015177191113195,0.00015177191113195,0.000210206026630543,82913893
"82","2020/03/21",1237,149,19644,1433,13078,13078,18143,0.000236920488102036,1.4919092027195e-05,0.000157729899378865,0.000157729899378865,0.000218817369967178,82913893
"83","2020/03/22",966,123,20610,1556,13449,13449,18274,0.000248571129086895,1.16506409848588e-05,0.000162204420916528,0.000162204420916528,0.000220397322316056,82913893
"84","2020/03/23",1028,129,21638,1685,13596,13596,18716,0.000260969533778857,1.23984046919616e-05,0.000163977344544659,0.000163977344544659,0.000225728153905402,82913893
