"","X","date","p_cases_infected","p_cases_infected_error","p_fatalities","p_recovered","p_cases_recent","p_cases_daily","p_cases_active","p_cases_infected_smooth","p_cases_infected_smooth_low","p_cases_infected_smooth_high"
"39",39,"2020/04/30",0.0301477564128741,0.0239029083814504,0,0,0,0,0,0.0344278811538902,0.0105249727724398,0.0583307895353406
"40",40,"2020/05/01",0.0301477564128741,0.0239029083814504,0,0,0,0,0,0.0346136077078882,0.0107106993264378,0.0585165160893386
"41",41,"2020/05/02",0.0301477564128741,0.0239029083814504,0,0,0,0,0,0.0348344203687141,0.0109315119872637,0.0587373287501645
"42",42,"2020/05/03",0.0301477564128741,0.0239029083814504,0,0,0,0,0,0.035098914819959,0.0111960064385086,0.0590018232014094
"43",43,"2020/05/04",0.0301477564128741,0.0239029083814504,0,0,0,0,0,0.0354160727058393,0.0115131643243889,0.0593189810872897
"44",44,"2020/05/05",0.0301477564128741,0.0239029083814504,0,0,0,0,0,0.0357953780088465,0.0118924696273961,0.0596982863902969
"45",45,"2020/05/06",0.030547511240093,0.0234420044604277,0,0.000495695985751371,0,0,0,0.0362469590823665,0.0128049546219388,0.0596889635427942
"46",46,"2020/05/07",0.030547511240093,0.0234420044604277,0,0.000495695985751371,0,0,0,0.036781759874725,0.0133397554142973,0.0602237643351527
"47",47,"2020/05/08",0.0351464834346151,0.0195735380919498,0,0.0170775457315562,0,0,0,0.0374077156191065,0.0178341775271567,0.0569812537110563
"48",48,"2020/05/09",0.0398111495817955,0.0181381024310383,0,0.0226709448084904,0,0,0,0.0381172858353079,0.0199791834042696,0.0562553882663462
"49",49,"2020/05/10",0.0370935945790089,0.0176152706543079,0,0.0210778953240982,0,0,0,0.0388984603781077,0.0212831897237998,0.0565137310324156
"50",50,"2020/05/11",0.0421094246698665,0.0172426889023674,0,0.0265237872680396,0,0,0,0.0397383729932583,0.0224956840908909,0.0569810618956257
"51",51,"2020/05/12",0.041435027346726,0.0178999358313221,0,0.0257855956035209,0,0,0,0.0406230514208806,0.0227231155895585,0.0585229872522027
"52",52,"2020/05/13",0.041435027346726,0.0178999358313221,0,0.0257855956035209,0,0,0,0.0415372134756494,0.0236372776443273,0.0594371493069715
"53",53,"2020/05/14",0.0454476354182811,0.0177650544694877,0,0.032107585798889,0,0,0,0.0424641166435632,0.0246990621740755,0.0602291711130509
"54",54,"2020/05/15",0.0511392741189444,0.0211137817383434,0,0.0386879619124845,0,0,0,0.0433854707138474,0.022271688975504,0.0644992524521908
"55",55,"2020/05/16",0.0511392741189444,0.0211137817383434,0,0.0386879619124845,0,0,0,0.0442814243239589,0.0231676425856155,0.0653952060623023
"56",56,"2020/05/17",0.0477030291367203,0.020762889537676,0,0.0362227733495023,0,0,0,0.0451306368711653,0.0243677473334893,0.0658935264088413
"57",57,"2020/05/18",0.0491871120255082,0.0216769450082002,0,0.0364521741745831,0,0,0,0.0459104468494244,0.0242335018412242,0.0675873918576246
