"","X","date","p_cases_infected","p_cases_infected_error","p_fatalities","p_recovered","p_cases_recent","p_cases_daily","p_cases_active","p_cases_infected_smooth","p_cases_infected_smooth_low","p_cases_infected_smooth_high"
"48",48,"2020/06/02",0.0384528572611665,0.00643689778814178,0,0.173983268249712,0.00339733943602975,0.000485334205147107,0.00288938616896023,0.0396564470712144,0.0332195492830727,0.0460933448593562
"49",49,"2020/06/03",0.0384483597784293,0.00640420929081155,0,0.173975958965947,0.00339054425021445,0.00048436346431635,0.00288259098314493,0.0401876950977516,0.0337834858069401,0.0465919043885632
"50",50,"2020/06/04",0.0384202139449143,0.00637637682602295,0,0.173946444630861,0.00338723703808297,0.000483891005440425,0.00287928377101345,0.0406903655344083,0.0343139887083854,0.0470667423604312
"51",51,"2020/06/05",0.0327708623882334,0.00730781623810885,0,0.167066643684071,0.00719685216245321,0.00102812173749332,0.00723808558881112,0.0411771357656523,0.0338693195275434,0.0484849520037611
"52",52,"2020/06/06",0.0331199633988048,0.00750266002943715,0,0.16736232996065,0.00722811214937857,0.00103258744991122,0.00727700274362157,0.0416531231345649,0.0341504631051277,0.049155783164002
"53",53,"2020/06/07",0.0331497843328515,0.00749992731145373,0,0.167391944877881,0.00726023360453188,0.00103717622921884,0.00727648770158277,0.042117888537759,0.0346179612263053,0.0496178158492127
"54",54,"2020/06/08",0.0360570812299594,0.00744833617215923,0,0.170231491395244,0.00811106203958519,0.00115872314851217,0.00825004408988741,0.0425708825974955,0.0351225464253363,0.0500192187696547
"55",55,"2020/06/09",0.0351936543264597,0.00739963765349713,0.000580002618083522,0.169353277493487,0.00800378987497987,0.00114339855356855,0.00825687192946024,0.0430115623274309,0.0356119246739338,0.0504111999809281
"56",56,"2020/06/10",0.0351621266362941,0.00705653517874347,0.00071411186347939,0.224905131165414,0.0056816199927342,0.000811659998962028,0.00693408140680138,0.0434393921627259,0.0363828569839825,0.0504959273414694
"57",57,"2020/06/11",0.049508520293422,0.00826835910740601,0.00719261064536131,0.306422481663419,0.00631325378352356,0.000901893397646223,0.00715747158503183,0.0438538449928888,0.0355854858854828,0.0521222041002948
"58",58,"2020/06/12",0.0463609418577431,0.00826581930035212,0.000962016396703507,0.273822111394027,0.00785179087313065,0.00112168441044724,0.00866148837309992,0.0442544031947427,0.0359885838943906,0.0525202224950948
"59",59,"2020/06/13",0.0465040726202574,0.00821527567130386,0.00107971240010842,0.271574166469731,0.00718864453532937,0.00102694921933277,0.00752433989898234,0.0446405596628492,0.0364252839915454,0.0528558353341531
"60",60,"2020/06/14",0.0478854750649123,0.00955324813639263,0.00153117684368549,0.262620334193136,0.00721410099466317,0.00103058585638045,0.00767398586048996,0.0450118188346767,0.0354585706982841,0.0545650669710693
"61",61,"2020/06/15",0.0470792999608153,0.00940134174624914,0.00199008508092241,0.261554700231765,0.00716636995501055,0.00102376713643008,0.00773924624233502,0.0453677081320511,0.0359663663858019,0.0547690498783002
"62",62,"2020/06/16",0.0482917383927507,0.00962893108916511,0.00201111115951275,0.261216753869911,0.00709352210733791,0.00101336030104827,0.00769151251038398,0.0457080709905709,0.0360791399014058,0.0553370020797361
"63",63,"2020/06/17",0.0480310394572695,0.00948630718950472,0.00205304667123594,0.260856953741388,0.00707844622506698,0.001011206603581,0.00777445499544562,0.0460331168682147,0.03654680967871,0.0555194240577194
"64",64,"2020/06/18",0.0480143267633063,0.00958904330779304,0.00205351388293041,0.307808921710577,0.00702322361333858,0.00100331765904837,0.00771871572307694,0.0463431061075956,0.0367540627998026,0.0559321494153887
"65",65,"2020/06/19",0.0481638351117581,0.00947491959015354,0.00208500465058457,0.307881821510736,0.00701512979675584,0.00100216139953655,0.00771212533669188,0.0466383306732636,0.03716341108311,0.0561132502634171
"66",66,"2020/06/20",0.0481638351117581,0.00947491959015354,0.00208500465058457,0.307881821510736,0.00701512979675584,0.00100216139953655,0.00771212533669188,0.0469191127289672,0.0374441931388137,0.0563940323191207
"67",67,"2020/06/21",0.0496298581276929,0.0093291664253115,0.00235938545115782,0.309019735348431,0.00682454114182664,0.000974934448832377,0.00736978552374266,0.0471858031921958,0.0378566367668843,0.0565149696175073
"68",68,"2020/06/22",0.049158717139808,0.00920940250137562,0.00252603150043061,0.302385928471544,0.00665072122624972,0.000950103032321388,0.0130129275929949,0.0474387802748923,0.0382293777735167,0.0566481827762679
"69",69,"2020/06/23",0.049179684805259,0.00905885332744718,0.00249684423187077,0.302989246615297,0.00658427843699095,0.000940611205284422,0.012963063182514,0.0476784480189108,0.0386195946914636,0.056737301346358
"70",70,"2020/06/24",0.0490141385340232,0.00903015886470099,0.00250229690398748,0.298069979526926,0.00649852992500172,0.000928361417857388,0.0128773146705248,0.0479052348344389,0.038875075969738,0.0569353936991399
"71",71,"2020/06/25",0.0489174144741264,0.00894350617312963,0.00248969152848406,0.298165196124433,0.0064296118296247,0.000918515975660672,0.0123621233314811,0.0481195924484767,0.0391760862753471,0.0570630986216064
"72",72,"2020/06/26",0.0489186959512833,0.00892531139386157,0.0025063951040015,0.298139124631417,0.0064251745818515,0.000917882083121643,0.0123580410635297,0.0483220332216666,0.039396721827805,0.0572473446155282
"73",73,"2020/06/27",0.0514761374285123,0.0105691507969747,0.00279372358412526,0.356254726427485,0.00682770471486012,0.000975386387837159,0.0127660457336597,0.0485131619380282,0.0379440111410535,0.0590823127350029
"74",74,"2020/06/28",0.0516100352373658,0.0107054722801133,0.0028242222676163,0.42189253120022,0.0068255886660099,0.000975084095144271,0.0131129632986425,0.048693611347288,0.0379881390671747,0.0593990836274013
"75",75,"2020/06/29",0.051603654491678,0.010683094830818,0.0028236365953068,0.421884855810479,0.00682478721969162,0.000974969602813089,0.013112223502041,0.0488640330437116,0.0381809382128936,0.0595471278745296
"76",76,"2020/06/30",0.0527245451924779,0.0106352098484422,0.00282441742539704,0.421683153001784,0.006836291897058,0.000976613128151142,0.0127733715875526,0.0490250959559064,0.0383898861074642,0.0596603058043486
"77",77,"2020/07/01",0.0527245451924779,0.0106352098484422,0.00282441742539704,0.421683153001784,0.006836291897058,0.000976613128151142,0.0127733715875526,0.0491774849171586,0.0385422750687164,0.0598126947656008
"78",78,"2020/07/02",0.0527234233304033,0.0105698179035207,0.00287250537771239,0.421599030459341,0.00682141106215013,0.000974487294592876,0.0127596354322531,0.0493218993223689,0.0387520814188482,0.0598917172258896
"79",79,"2020/07/03",0.0488896698391007,0.0107933388851385,0.00290313795669725,0.421542039595913,0.0068316449137925,0.000975949273398929,0.0127705953464454,0.0494590518770902,0.0386657129919517,0.0602523907622287
"80",80,"2020/07/04",0.0476520632852728,0.0106503709730653,0.00270235497185501,0.420571142511477,0.00670516556836458,0.000957880795480654,0.0126602350069389,0.0495896674436265,0.0389392964705612,0.0602400384166918
"81",81,"2020/07/05",0.0475878330304397,0.0112728668222694,0.00291585878854278,0.174351794598517,0.00684931479978434,0.000978473542826335,0.0130398450602689,0.0497144819226957,0.0384416151004263,0.0609873487449651
"82",82,"2020/07/06",0.0480458391785092,0.0111927049721114,0.00297746825920341,0.174634100645447,0.00689267648546014,0.000984668069351449,0.0130832067459447,0.0498341273760145,0.0386414224039031,0.0610268323481259
"83",83,"2020/07/07",0.0480396964097969,0.0111703304641556,0.00297386732582034,0.174625416041405,0.006889605101104,0.000984229300157714,0.0130801353615886,0.0499488954550156,0.03877856499086,0.0611192259191712
"84",84,"2020/07/08",0.0480065922820874,0.0111257246498199,0.00297279395364615,0.17459155423922,0.00688592686469184,0.00098370383781312,0.0130792198382635,0.0500590159222017,0.0389332912723818,0.0611847405720216
"85",85,"2020/07/09",0.0487087102361447,0.0110743351985103,0.00303218192753466,0.174729334739288,0.00739785212699203,0.00105683601814172,0.0134897598759959,0.0501647222146955,0.0390903870161852,0.0612390574132058
"86",86,"2020/07/10",0.0487866364836479,0.0110357309192617,0.00304450939589404,0.174783605371843,0.00739089624750711,0.00105584232107244,0.0134837976935802,0.050266251219204,0.0392305202999423,0.0613019821384658
"87",87,"2020/07/11",0.0487866364836479,0.0110357309192617,0.00304450939589404,0.174783605371843,0.00739089624750711,0.00105584232107244,0.0134837976935802,0.0503638430573418,0.0393281121380801,0.0613995739766035
"88",88,"2020/07/12",0.0487866364836479,0.0110357309192617,0.00304450939589404,0.174783605371843,0.00739089624750711,0.00105584232107244,0.0134837976935802,0.0504577408817155,0.0394220099624538,0.0614934718009772
"89",89,"2020/07/13",0.0489272173971073,0.0109954950976845,0.00306845332600389,0.174878239431128,0.00737738568009912,0.00105391224001416,0.0134722172072305,0.0505481906831465,0.039552695585462,0.061543685780831
"90",90,"2020/07/14",0.0496179789069825,0.0111911741545655,0.00308586370711478,0.176668352297764,0.00692048312414593,0.000988640446306561,0.0129498326613806,0.0506354411093766,0.0394442669548111,0.0618266152639421
"91",91,"2020/07/15",0.0496179789069825,0.0111911741545655,0.00308586370711478,0.176668352297764,0.00692048312414593,0.000988640446306561,0.0129498326613806,0.050719743295579,0.0395285691410135,0.0619109174501445
"92",92,"2020/07/16",0.049623370908564,0.0111702249196344,0.00308369034755217,0.176672812859533,0.00691882723114584,0.000988403890163691,0.0129484355016618,0.0508013270046826,0.0396311020850482,0.061971551924317
"93",93,"2020/07/17",0.0498271436158063,0.0111358106791026,0.00311437688704818,0.176829995040032,0.00691034510461405,0.000987192157802007,0.0129412787074006,0.0508802991452592,0.0397444884661566,0.0620161098243618
"94",94,"2020/07/18",0.0498271436158063,0.0111358106791026,0.00311437688704818,0.176829995040032,0.00691034510461405,0.000987192157802007,0.0129412787074006,0.0509567268007836,0.039820916121681,0.0620925374798862
"95",95,"2020/07/19",0.0499037811661794,0.0111162533878672,0.0031256906661008,0.176882524296377,0.00690352136329361,0.000986217337613372,0.0129355211756615,0.0510306778980831,0.0399144245102159,0.0621469312859503
"96",96,"2020/07/20",0.0499037811661794,0.0111162533878672,0.0031256906661008,0.176882524296377,0.00690352136329361,0.000986217337613372,0.0129355211756615,0.0511022211947288,0.0399859678068616,0.062218474582596
"97",97,"2020/07/21",0.0499677752536114,0.0110764660874269,0.00313243916177458,0.176921576938969,0.00689381845707139,0.000984831208153055,0.0129273343485365,0.0511714262435653,0.0400949601561384,0.0622478923309922
"98",98,"2020/07/22",0.0499677752536114,0.0110764660874269,0.00313243916177458,0.176921576938969,0.00689381845707139,0.000984831208153055,0.0129273343485365,0.0512383633580768,0.0401618972706499,0.0623148294455037
"99",99,"2020/07/23",0.0502011742663694,0.0110627250159833,0.00318065091236081,0.177090885174128,0.00690547819976335,0.000986496885680479,0.0129403173434795,0.0513031035786169,0.0402403785626336,0.0623658285946002
"100",100,"2020/07/24",0.0502011742663694,0.0110627250159833,0.00318065091236081,0.177090885174128,0.00690547819976335,0.000986496885680479,0.0129403173434795,0.051365718639531,0.0403029936235477,0.0624284436555143
"101",101,"2020/07/25",0.0517126240357959,0.0111930166655183,0.0032147982266906,0.17711619964185,0.00723271974434596,0.00103324567776371,0.0131434176433761,0.0514262809371981,0.0402332642716798,0.0626192976027164
"102",102,"2020/07/26",0.0517126240357959,0.0111930166655183,0.0032147982266906,0.17711619964185,0.00723271974434596,0.00103324567776371,0.0131434176433761,0.0514848625632912,0.0402918458977729,0.0626778792288095
"103",103,"2020/07/27",0.0519045401568618,0.0111746481031224,0.00324506229507625,0.177028839485187,0.00722646816033002,0.00103235259433286,0.0131385056845065,0.0515415274041235,0.0403668793010011,0.0627161755072459
"104",104,"2020/07/28",0.0541109279852102,0.0112749292473791,0.00325596498494605,0.17552192083071,0.00798175224195348,0.00114025032027907,0.0148616765152246,0.0515963350487331,0.040321405801354,0.0628712642961122
"105",105,"2020/07/29",0.0541548880762903,0.0112561551460134,0.00325596498494605,0.175470203076498,0.00798175224195348,0.00114025032027907,0.0148616765152246,0.0516493455227936,0.0403931903767802,0.062905500668807
"106",106,"2020/07/30",0.0542150568846342,0.0112167944801146,0.00325540361008624,0.175345341917462,0.00797002032097019,0.00113857433156717,0.0148528775744871,0.051700619315604,0.0404838248354894,0.0629174137957186
"107",107,"2020/07/31",0.0544423962899264,0.0112710671982311,0.00336474083906825,0.175265744711206,0.00810780342990902,0.00115825763284415,0.0149965245193455,0.0517502173584543,0.0404791501602232,0.0630212845566854
"108",108,"2020/08/01",0.0541487680271538,0.0112531696388443,0.0033214186363641,0.175034692963451,0.00807651517240047,0.0011537878817715,0.0149796769960716,0.0517982010036702,0.0405450313648259,0.0630513706425145
"109",109,"2020/08/02",0.0541487680271538,0.0112531696388443,0.0033214186363641,0.175034692963451,0.00807651517240047,0.0011537878817715,0.0149796769960716,0.0518446320043484,0.0405914623655041,0.0630978016431927
"110",110,"2020/08/03",0.0544594217862585,0.0112938450482314,0.00337338929769829,0.175150340693238,0.00809126369084897,0.00115589481297842,0.014991148065976,0.0518895724947978,0.0405957274465664,0.0631834175430292
"111",111,"2020/08/04",0.0544401513332076,0.0112736332368303,0.00336722063775286,0.175118395847092,0.00808828951551814,0.00115546993078831,0.0149888348184965,0.0519330849716958,0.0406594517348655,0.0632067182085261
"112",112,"2020/08/05",0.054569045758452,0.0112356390461679,0.00338446408219309,0.17498644078558,0.00807600404427394,0.00115371486346771,0.0149792794519732,0.0519752321365134,0.0407395930903455,0.0632108711826813
"113",113,"2020/08/06",0.0553831652113251,0.0113830482651856,0.00344864632447557,0.17512445909801,0.00812605132431948,0.00116086447490278,0.0151214140626291,0.0520160744008928,0.0406330261357072,0.0633991226660784
"114",114,"2020/08/07",0.055500066003389,0.011423454262533,0.00347295202187405,0.175198103987924,0.00813717427058658,0.00116245346722665,0.015130065243059,0.0520556701530211,0.0406322158904881,0.0634791244155541
"115",115,"2020/08/08",0.055500066003389,0.011423454262533,0.00347295202187405,0.175198103987924,0.00813717427058658,0.00116245346722665,0.015130065243059,0.052094077979954,0.040670623717421,0.063517532242487
