"","countrycode","regioncode","provincecode","population","p_w_provs","p_m_provs","recent_p_w_provs","recent_p_m_provs","sumreach_provs","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","p_w_regs_rhs","p_m_regs_rhs","recent_p_w_regs_rhs","recent_p_m_regs_rhs","sumreach_regs_rhs1","sumreach_regs_rhs2","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","population_country","p_w_country_only","p_m_country_only","recent_p_w_country_only","recent_p_m_country_only","sumreach_country","p_w_country_rhs","p_m_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","recent_p_m_country_rhs","recent_sumreach_country_rhs","p_w_country","p_m_country","recent_p_w_country","recent_p_m_country"
"11","ES","ESAR","ESZ",964693,0,0,0,0,2,1319291,0,0,0,0,30,0.00372037726742685,0.00372037726742685,0,0,52,52,2.77746414383658,2.77746414383658,0.165899103372666,0.165899103372666,47026208,0.166666666666667,0.166666666666667,0,0,60,2.77746414383658,2.77746414383658,1087,0.165899103372666,0.165899103372666,1087,2.64089234904129,2.64089234904129,0.157220859081157,0.157220859081157
"12","ES","ESAS","ESO",1022800,NA,NA,NA,NA,0,1022800,0,0,0,0,20,0,0,0,0,0,0,2.77746414383658,2.77746414383658,0.165899103372666,0.165899103372666,47026208,0.166666666666667,0.166666666666667,0,0,60,2.77746414383658,2.77746414383658,1087,0.165899103372666,0.165899103372666,1087,2.64089234904129,2.64089234904129,0.157220859081157,0.157220859081157
"13","ES","ESCB","ESS",581078,NA,NA,NA,NA,0,581078,0.0333333333333333,0.0333333333333333,0,0,60,0,0,0,0,0,0,2.77746414383658,2.77746414383658,0.165899103372666,0.165899103372666,47026208,0.166666666666667,0.166666666666667,0,0,60,2.77746414383658,2.77746414383658,1087,0.165899103372666,0.165899103372666,1087,2.64089234904129,2.64089234904129,0.157220859081157,0.157220859081157
"14","ES","ESCE","ESCE",84777,0,0,0,0,100,84777,0,0,0,0,100,0,0,0,0,100,100,2.77746414383658,2.77746414383658,0.165899103372666,0.165899103372666,47026208,0.166666666666667,0.166666666666667,0,0,60,2.77746414383658,2.77746414383658,1087,0.165899103372666,0.165899103372666,1087,2.64089234904129,2.64089234904129,0.157220859081157,0.157220859081157
"15","ES","ESCL","ESAV",157640,NA,NA,NA,NA,0,2399548,0.125,0.125,0,0,8,0.0562218970560196,0.0562218970560196,0.00466970605557638,0.00466970605557638,295,290,2.77746414383658,2.77746414383658,0.165899103372666,0.165899103372666,47026208,0.166666666666667,0.166666666666667,0,0,60,2.77746414383658,2.77746414383658,1087,0.165899103372666,0.165899103372666,1087,2.64089234904129,2.64089234904129,0.157220859081157,0.157220859081157
"16","ES","ESCL","ESLE",460001,NA,NA,NA,NA,0,2399548,0.125,0.125,0,0,8,0.0562218970560196,0.0562218970560196,0.00466970605557638,0.00466970605557638,295,290,2.77746414383658,2.77746414383658,0.165899103372666,0.165899103372666,47026208,0.166666666666667,0.166666666666667,0,0,60,2.77746414383658,2.77746414383658,1087,0.165899103372666,0.165899103372666,1087,2.64089234904129,2.64089234904129,0.157220859081157,0.157220859081157
"17","ES","ESCL","ESP",160980,NA,NA,NA,NA,0,2399548,0.125,0.125,0,0,8,0.0562218970560196,0.0562218970560196,0.00466970605557638,0.00466970605557638,295,290,2.77746414383658,2.77746414383658,0.165899103372666,0.165899103372666,47026208,0.166666666666667,0.166666666666667,0,0,60,2.77746414383658,2.77746414383658,1087,0.165899103372666,0.165899103372666,1087,2.64089234904129,2.64089234904129,0.157220859081157,0.157220859081157
"18","ES","ESCL","ESSG",153129,0.05,0.05,0,0,20,2399548,0.125,0.125,0,0,8,0.0562218970560196,0.0562218970560196,0.00466970605557638,0.00466970605557638,295,290,2.77746414383658,2.77746414383658,0.165899103372666,0.165899103372666,47026208,0.166666666666667,0.166666666666667,0,0,60,2.77746414383658,2.77746414383658,1087,0.165899103372666,0.165899103372666,1087,2.64089234904129,2.64089234904129,0.157220859081157,0.157220859081157
"19","ES","ESCL","ESSA",330119,0,0,NA,NA,5,2399548,0.125,0.125,0,0,8,0.0562218970560196,0.0562218970560196,0.00466970605557638,0.00466970605557638,295,290,2.77746414383658,2.77746414383658,0.165899103372666,0.165899103372666,47026208,0.166666666666667,0.166666666666667,0,0,60,2.77746414383658,2.77746414383658,1087,0.165899103372666,0.165899103372666,1087,2.64089234904129,2.64089234904129,0.157220859081157,0.157220859081157
"20","ES","ESCL","ESZA",172539,0.015,0.015,0.015,0.015,200,2399548,0.125,0.125,0,0,8,0.0562218970560196,0.0562218970560196,0.00466970605557638,0.00466970605557638,295,290,2.77746414383658,2.77746414383658,0.165899103372666,0.165899103372666,47026208,0.166666666666667,0.166666666666667,0,0,60,2.77746414383658,2.77746414383658,1087,0.165899103372666,0.165899103372666,1087,2.64089234904129,2.64089234904129,0.157220859081157,0.157220859081157
