"date","population","total_responses","pct_cli","pct_cli_smooth","number_cli","batched_pct_cli","batched_pct_cli_smooth","estimate_cli","cum_estimate_cli","number_cli_smooth","cum_number_cli_smooth","b_size_denom","p_symptom"
2020-05-09,211049519,16554,2.2955,2.22376315159693,379.99707,NA,2.17112650716858,4582152.05026078,77536620.9353375,4693241.43514457,75651242.2703464,1000,2.17112650716858
2020-05-10,211049519,16262,2.1277,2.22142109840704,346.006574,NA,2.17225835852659,4584540.81710767,82121161.7524452,4688298.54315258,80339540.813499,1000,2.17225835852659
2020-05-11,211049519,16977,2.2737,2.21760863708181,386.006049,NA,2.17336159568176,4586869.19381708,86708030.9462623,4680252.36186361,85019793.1753626,1000,2.17336159568176
2020-05-12,211049519,16422,2.3261,2.21263834900484,381.992142,NA,2.17443482383454,4589134.23667128,91297165.1829336,4669762.59278425,89689555.7681468,1000,2.17443482383454
2020-05-13,211049519,14200,2.0845,2.20682225122118,295.999,NA,2.17547664672531,4591332.9988711,95888498.1818047,4657487.74638727,94347043.5145341,1000,2.17547664672531
2020-05-14,211049519,14700,2.102,2.2004704002954,308.994,NA,2.17648566682843,4593462.53094534,100481960.71275,4644082.19556082,98991125.7100949,1000,2.17648566682843
2020-05-15,211049519,16538,2.2977,2.19388993105234,379.993626,NA,2.17746048555507,4595519.88117904,105077480.593929,4630194.14687539,103621319.85697,1000,2.17746048555507
2020-05-16,211049519,17495,2.2178,2.18738452607975,388.00411,2.19967159729054,2.17839970346498,4597502.09606026,109674982.689989,4616464.52097173,108237784.377942,1000,2.17839970346498
2020-05-17,211049519,18036,2.2677,2.18125430897059,409.002372,NA,2.17930192048709,4599406.22074576,114274388.910735,4603526.7272492,112841311.105191,1000,2.17930192048709
2020-05-18,211049519,18908,2.1684,2.17579615304441,410.001072,NA,2.18016573614895,4601229.29954517,118875618.21028,4592007.31542073,117433318.420612,1000,2.18016573614895
2020-05-19,211049519,18112,2.3079,2.17128353741452,418.006848,NA,2.18098974981501,4602968.37642389,123478586.586704,4582483.46183952,122015801.882451,1000,2.18098974981501
2020-05-20,211049519,15190,2.0935,2.16777255806385,318.00265,NA,2.18177256093371,4604620.49552457,128083207.082229,4575073.55680776,126590875.439259,1000,2.18177256093371
2020-05-21,211049519,13842,2.1601,2.16519242004653,299.001042,NA,2.18251276929332,4606182.70170713,132689389.783936,4569628.18793267,131160503.627192,1000,2.18251276929332
2020-05-22,211049519,15759,2.1067,2.16347223122269,331.994853,NA,2.18320897532753,4607652.04119358,137297041.825129,4565997.73769406,135726501.364886,1000,2.18320897532753
2020-05-23,211049519,16887,2.1555,2.16254239514729,363.999285,NA,2.18385978544019,4609025.57280595,141906067.397935,4564035.32312943,140290536.688015,1000,2.18385978544019
2020-05-24,211049519,17630,2.0306,2.162334349424,357.99478,NA,2.18446381717138,4610300.37886925,146516367.776805,4563596.24363114,144854132.931647,1000,2.18446381717138
2020-05-25,211049519,17817,2.116,2.16278032770452,377.00772,NA,2.18501969068334,4611473.54724248,151127841.324047,4564537.47864702,149418670.410294,1000,2.18501969068334
2020-05-26,211049519,17801,2.0842,2.16381314439275,371.008442,NA,2.18552602790054,4612542.16950389,155740383.493551,4566717.23329967,153985387.643593,1000,2.18552602790054
2020-05-27,211049519,17512,2.1528,2.1653660013154,376.998336,NA,2.18598145281362,4613503.34159235,160353886.835143,4569994.53036568,158555382.173959,1000,2.18598145281362
2020-05-28,211049519,16944,2.4669,2.16737231580137,417.991536,NA,2.18638459179167,4614354.16446644,164968240.99961,4574228.84743795,163129611.021397,1000,2.18638459179167
2020-05-29,211049519,16365,2.1876,2.16976556977238,358.00074,2.17749148086111,2.18673407390266,4615091.74478068,169583332.74439,4579279.79843221,167708890.819829,1000,2.18673407390266
2020-05-30,211049519,16581,2.0867,2.17247917958869,345.995727,NA,2.18702853124208,4615713.19557917,174199045.93997,4585006.85889707,172293897.678726,1000,2.18702853124208
2020-05-31,211049519,17866,2.2613,2.175446386516,404.003858,NA,2.18726659926962,4616215.63700618,178815261.576976,4591269.13484489,176885166.813571,1000,2.18726659926962
2020-06-01,211049519,13405,2.1783,2.17860016778378,292.001115,NA,2.18744691715393,4616596.1970337,183431857.77401,4597925.17504086,181483091.988612,1000,2.18744691715393
2020-06-02,211049519,17461,2.3252,2.18187316829169,406.003172,NA,2.18756812812528,4616852.0122057,188048709.786215,4604832.82686967,186087924.815482,1000,2.18756812812528
2020-06-03,211049519,16376,2.2777,2.18519765308871,372.996152,NA,2.18762887983598,4616980.22839893,192665690.014614,4611849.13604301,190699773.951525,1000,2.18762887983598
2020-06-04,211049519,15863,1.9794,2.18850548080039,313.992222,NA,2.1876278247287,4616978.00160008,197282668.016214,4618830.29051787,195318604.242042,1000,2.1876278247287
2020-06-05,211049519,15181,2.0947,2.19172809821155,317.996407,NA,2.18756362041223,4616842.49869899,201899510.514913,4625631.60906333,199944235.851106,1000,2.18756362041223
2020-06-06,211049519,15590,2.322,2.19479655622581,361.9998,NA,2.18743493004495,4616570.89829784,206516081.413211,4632107.57494313,204576343.426049,1000,2.18743493004495
2020-06-07,211049519,16448,2.0793,2.19764154741881,342.003264,NA,2.18724042272559,4616160.39153592,211132241.804747,4638111.91517155,209214455.34122,1000,2.18724042272559
2020-06-08,211049519,16672,1.9794,2.20019346537832,330.005568,NA,2.18697877389134,4615608.18292978,215747849.987677,4643497.72575037,213857953.066971,1000,2.18697877389134
2020-06-09,211049519,16394,2.1044,2.20238248598188,344.995336,NA,2.18664866572313,4614911.49122859,220362761.478905,4648117.643205,218506070.710176,1000,2.18664866572313
2020-06-10,211049519,15703,2.2289,2.20413867070084,350.004167,NA,2.18624878755787,4614067.55028422,224976829.02919,4651824.06260712,223157894.772783,1000,2.18624878755787
2020-06-11,211049519,16524,2.2392,2.20539209193825,370.005408,2.15387843324263,2.18577783630767,4613073.60993594,229589902.639126,4654469.40209971,227812364.174883,1000,2.18577783630767
2020-06-12,211049519,18975,2.029,2.20607298030751,385.00275,NA,2.18523449647678,4611926.89383632,234201829.532962,4655906.41372797,232468270.588611,1000,2.18523449647678
2020-06-13,211049519,18968,2.1246,2.20611209295977,402.994128,NA,2.1846163589524,4610622.31756435,238812451.850526,4655988.96079244,237124259.549403,1000,2.1846163589524
2020-06-14,211049519,17889,2.3255,2.20547421616698,416.008695,NA,2.18391938397864,4609151.35523468,243421603.205761,4654642.72488944,241778902.274292,1000,2.18391938397864
2020-06-15,211049519,16776,2.2473,2.20419561537438,377.007048,NA,2.18313941169553,4607505.22748284,248029108.433244,4651944.24406672,246430846.518359,1000,2.18313941169553
2020-06-16,211049519,14251,2.2314,2.20232205493185,317.996814,NA,2.18227229744419,4605675.1870262,252634783.62027,4647990.10376459,251078836.622124,1000,2.18227229744419
2020-06-17,211049519,14523,2.0037,2.19989965406436,290.997351,NA,2.18131391339931,4603652.52210932,257238436.142379,4642877.6383855,255721714.260509,1000,2.18131391339931
2020-06-18,211049519,13755,2.1592,2.19697476906425,296.99796,NA,2.18026015027783,4601428.56011004,261839864.702489,4636704.68266147,260358418.943171,1000,2.18026015027783
2020-06-19,211049519,13407,2.0512,2.19359388466368,275.004384,NA,2.17910691912289,4598994.67130458,266438859.373794,4629569.34239611,264987988.285567,1000,2.17910691912289
2020-06-20,211049519,14097,2.199,2.18980351478974,309.99303,NA,2.177850153162,4596342.27278916,271035201.646583,4621569.78500885,269609558.070576,1000,2.177850153162
2020-06-21,211049519,14933,2.1697,2.18565011284522,324.001301,NA,2.17648580973823,4593462.8325558,275628664.479139,4612804.05018279,274222362.120759,1000,2.17648580973823
2020-06-22,211049519,15381,2.4251,2.18117999160342,373.004631,NA,2.17500987231326,4590347.87371966,280219012.352858,4603369.88080326,278825732.001562,1000,2.17500987231326
2020-06-23,211049519,15695,2.4275,2.17643925275687,380.996125,NA,2.17341835254081,4586988.9788951,284806001.331754,4593364.57427058,283419096.575832,1000,2.17341835254081
2020-06-24,211049519,15892,2.5547,2.1714737261159,405.992924,NA,2.17170729240903,4583377.79471719,289389379.126471,4582884.85417898,288001981.430011,1000,2.17170729240903
2020-06-25,211049519,15130,2.234,2.16632891841524,338.0042,2.2168880230854,2.16987276645041,4579506.03650558,293968885.162976,4572026.76227326,292574008.192285,1000,2.16987276645041
2020-06-26,211049519,14254,2.2871,2.16104997165455,326.003234,NA,2.1679108840172,4575365.49306695,298544250.656043,4560885.57052656,297134893.762811,1000,2.1679108840172
2020-06-27,211049519,14534,2.1536,2.1556816308718,313.004224,NA,2.16581779162094,4570948.03163242,303115198.687676,4549555.71312629,301684449.475937,1000,2.16581779162094
2020-06-28,211049519,15177,2.0426,2.15026822122726,310.005402,NA,2.16358967533382,4566245.60292569,307681444.290601,4538130.73810998,306222580.214047,1000,2.16358967533382
2020-06-29,211049519,15987,1.9578,2.1448536342599,312.993486,NA,2.16122276325008,4561250.24635781,312242694.536959,4526703.27835954,310749283.492407,1000,2.16122276325008
2020-06-30,211049519,15032,2.1421,2.13948132316776,322.000472,NA,2.15871332800513,4555954.09534371,316798648.632303,4515365.04164039,315264648.534047,1000,2.15871332800513
2020-07-01,211049519,14491,2.3325,2.13419430695805,338.002575,NA,2.15605768935017,4550349.38273604,321348998.015039,4504206.81936035,319768855.353408,1000,2.15605768935017
2020-07-02,211049519,12634,2.0579,2.12903518331326,259.995086,NA,2.1532522167799,4544428.44637082,325893426.46141,4493318.5137234,324262173.867131,1000,2.1532522167799
2020-07-03,211049519,12540,2.2488,2.12404615002362,281.99952,NA,2.15029335099544,4538183.77436486,330431610.235775,4482789.18296287,328744963.050094,1000,2.15029335099544
2020-07-04,211049519,13373,2.1835,2.11926903484665,291.999455,NA,2.1471781418985,4531609.14054992,334963219.376325,4472707.1043598,333217670.154454,1000,2.1471781418985
2020-07-05,211049519,14187,1.8961,2.11474533366827,268.999707,NA,2.14390432521433,4524699.76618504,339487919.14251,4463159.85478182,337680830.009236,1000,2.14390432521433
