"date","population","total_responses","pct_cli","pct_cli_smooth","pct_cli_smooth_low","pct_cli_smooth_high","number_cli","batched_pct_cli","batched_pct_cli_smooth","batched_pct_cli_smooth_low","batched_pct_cli_smooth_high","estimate_cli","cum_estimate_cli","number_cli_smooth","cum_number_cli_smooth","b_size_denom","p_symptom","p_symptom_high","p_symptom_low"
2020-06-15,43993643,3241,0.7714,0.79171328282158,0.699617743233082,0.883808822410079,25.001074,NA,0.756157892817615,0.704806793581319,0.807508992053911,332661.403882504,21838884.3095364,348303.515228106,22012569.1321338,1000,0.756157892817615,0.807508992053911,0.704806793581319
2020-06-16,43993643,2837,0.846,0.793680057676869,0.701625682130054,0.885734433223684,24.00102,NA,0.7565223120841,0.70458175613145,0.808462868036749,332821.725193625,22171706.03473,349168.771136556,22361737.9032704,1000,0.7565223120841,0.808462868036749,0.70458175613145
2020-06-17,43993643,3059,0.6211,0.796086313353891,0.704018473568113,0.888154153139669,18.999449,NA,0.757659384243976,0.705236925565987,0.810081842921965,333321.964660293,22505027.9993903,350227.370668772,22711965.2739391,1000,0.757659384243976,0.810081842921965,0.705236925565987
2020-06-18,43993643,3274,0.8247,0.79893317687411,0.706788383057671,0.891077970690549,27.000678,0.766935891936392,0.759606909202769,0.706845542264141,0.812368276141397,334178.751838,22839206.7512283,351479.809642554,23063445.0835817,1000,0.759606909202769,0.812368276141397,0.706845542264141
2020-06-19,43993643,3178,1.1013,0.802222469450162,0.709945947099802,0.894498991800523,34.999314,NA,0.76240412769382,0.709477915625503,0.815330339762136,335409.350154883,23174616.1013832,352926.889275688,23416371.9728574,1000,0.76240412769382,0.815330339762136,0.709477915625503
2020-06-20,43993643,3226,0.62,0.805956703481129,0.713518521788989,0.898394885173269,20.0012,NA,0.766059983207323,0.713148845572226,0.81897112084242,337017.69417809,23511633.7955613,354569.714864057,23770941.6877214,1000,0.766059983207323,0.81897112084242,0.713148845572226
2020-06-21,43993643,3309,0.7253,0.810139081326232,0.717544787926263,0.902733374726201,24.000177,NA,0.770552416171002,0.71781583303421,0.823288999307794,338994.079098145,23850627.8746595,356409.695242142,24127351.3829636,1000,0.770552416171002,0.823288999307794,0.71781583303421
2020-06-22,43993643,3222,0.869,0.814773172054105,0.722059092820765,0.907487251287445,27.99918,NA,0.775859887529184,0.723430839170763,0.828288935887606,341329.029099791,24191956.9037592,358448.400573259,24485799.7835368,1000,0.775859887529184,0.828288935887606,0.723430839170763
2020-06-23,43993643,3215,0.6532,0.819861103512837,0.72704841309661,0.912673793929064,21.00038,NA,0.781962532893535,0.729943148295276,0.833981917491793,344013.805114939,24535970.7088742,360686.766975298,24846486.5505121,1000,0.781962532893535,0.833981917491793,0.729943148295276
2020-06-24,43993643,3181,0.7859,0.825404774293483,0.732479262045,0.918330286541965,24.999479,NA,0.788841869361462,0.737299703834238,0.840384034888685,347040.275841408,24883010.9847156,363125.629707631,25209612.1802198,1000,0.788841869361462,0.840384034888685,0.737299703834238
