"","date","p_cases","p_cases_recent","p_m_country","recent_p_m_country"
"84","2020/08/13",0.0495289522373101,0.00693903078738628,0.0495289522373101,0.00693903078738628
"85","2020/08/17",0.0621814316142679,0.00694289701655497,0.0621814316142679,0.00694289701655497
"86","2020/08/18",0.0482924798890389,0.0184530002808521,0.0482924798890389,0.0184530002808521
"87","2020/08/19",0.0458121533388046,0.0183682386545741,0.0458121533388046,0.0183682386545741
"88","2020/08/20",0.0520890926980731,0.0170997940493776,0.0520890926980731,0.0170997940493776
"89","2020/08/21",0.0525746305203304,0.0201837769545669,0.0525746305203304,0.0201837769545669
"90","2020/08/22",0.0549719847848722,0.0202489261929279,0.0549719847848722,0.0202489261929279
"91","2020/08/23",0.0526914086400665,0.0201626126951964,0.0526914086400665,0.0201626126951964
"92","2020/08/24",0.0537839213875874,0.00804671643078609,0.0537839213875874,0.00804671643078609
"93","2020/08/25",0.0566641827324069,0.0126543414121007,0.0566641827324069,0.0126543414121007
"94","2020/08/26",0.0560081020039767,0.0127304724462234,0.0560081020039767,0.0127304724462234
"95","2020/08/28",0.0721743785955328,0.01415683029193,0.0721743785955328,0.01415683029193
"96","2020/08/30",0.0522153906100995,0.000373635429324871,0.0522153906100995,0.000373635429324871
"97","2020/09/01",0.0648557696645219,0.000374565981798783,0.0648557696645219,0.000374565981798783
"98","2020/09/02",0.0585265989341493,0.000376600122714812,0.0585265989341493,0.000376600122714812
"99","2020/09/03",0.0569080455319143,0.000383643419616633,0.0569080455319143,0.000383643419616633
"100","2020/09/08",0.0631154480119133,0.000381163715613432,0.0631154480119133,0.000381163715613432
"101","2020/09/10",0.0587378215291813,0.000387090597727121,0.0587378215291813,0.000387090597727121
"102","2020/09/11",0.0631679370228189,0.0052948383222768,0.0631679370228189,0.0052948383222768
"103","2020/09/15",0.0767301194304967,0.00528390920200023,0.0767301194304967,0.00528390920200023
"104","2020/09/17",0.0741201902887876,0.0052691116469023,0.0741201902887876,0.0052691116469023
"105","2020/09/22",0.0741201902887876,0.0052691116469023,0.0741201902887876,0.0052691116469023
"106","2020/09/28",0.0698635024965388,0.00545174968103977,0.0698635024965388,0.00545174968103977
"107","2020/09/29",0.0698635024965388,0.00545174968103977,0.0698635024965388,0.00545174968103977
"108","2020/10/02",0.0890090219950448,0.00422343860486742,0.0890090219950448,0.00422343860486742
"109","2020/10/09",NA,NA,NA,NA
"110","2020/10/15",NA,NA,NA,NA
"111","2020/10/16",NA,NA,NA,NA
"112","2020/10/25",NA,NA,NA,NA
"113","2020/10/28",NA,NA,NA,NA
"114","2020/10/29",NA,NA,NA,NA
"115","2020/10/31",NA,NA,NA,NA
"116","2020/11/02",NA,NA,NA,NA
"117","2020/11/04",NA,NA,NA,NA
"118","2020/11/05",NA,NA,NA,NA
"119","2020/11/06",NA,NA,NA,NA
"120","2020/11/07",NA,NA,NA,NA
"121","2020/11/08",NA,NA,NA,NA
"122","2020/11/09",NA,NA,NA,NA
"123","2020/11/10",NA,NA,NA,NA
"124","2020/11/11",NA,NA,NA,NA
"125","2020/11/12",NA,NA,NA,NA
"126","2020/11/13",NA,NA,NA,NA
"127","2020/11/14",NA,NA,NA,NA
"128","2020/11/15",NA,NA,NA,NA
"129","2020/11/16",NA,NA,NA,NA
"130","2020/11/17",0.132930793875963,0.00504214465868252,0.108247736886612,0.00380799180921499
"131","2020/11/18",0.121141027485311,0.00874564027595948,0.121141027485311,0.00874564027595948
"132","2020/11/19",0.101809100350019,0.0116685411170589,0.101809100350019,0.0116685411170589
"133","2020/11/20",0.108487296265938,0.0179869975550888,0.108487296265938,0.0179869975550888
"134","2020/11/22",0.103477719431971,0.00830689751149649,0.103477719431971,0.00830689751149649
"135","2020/11/23",0.121987668825254,0.0138335354023481,0.121987668825254,0.0138335354023481
"136","2020/11/24",0.102114665606002,0.01716546842517,0.102114665606002,0.01716546842517
"137","2020/11/25",0.0825605898041761,0.00959656789865665,0.0825605898041761,0.00959656789865665
"138","2020/11/26",0.12081350284582,0.00744786939256189,0.12081350284582,0.00744786939256189
"139","2020/11/27",0.0768343552474273,0.00891749974057151,0.0768343552474273,0.00891749974057151
"140","2020/11/29",0.1001341825729,0.00687703626946678,0.1001341825729,0.00687703626946678
"141","2020/11/30",0.107341379965449,0.0127392992308483,0.107341379965449,0.0127392992308483
"142","2020/12/01",0.102044755540378,0.0191991202682335,0.102044755540378,0.0191991202682335
"143","2020/12/02",0.0736994770892403,0.0117873702020774,0.0736994770892403,0.0117873702020774
"144","2020/12/03",0.122123378402983,0.00401113558153229,0.122123378402983,0.00401113558153229
"145","2020/12/04",0.147953563663049,0.0306008536526993,0.147953563663049,0.0306008536526993
"146","2020/12/05",0.125251421117329,0.023671782392317,0.125251421117329,0.023671782392317
"147","2020/12/06",0.150487703189,0.0476623809741921,0.150487703189,0.0476623809741921
"148","2020/12/07",0.0955521233797399,0.00719782224097689,0.0955521233797399,0.00719782224097689
