"","date","p_cases_infected","p_cases_recent","p_cases_active","p_cases_daily","p_cases_infected_smooth","p_cases_infected_smooth_low","p_cases_infected_smooth_high"
"46",2020-05-22,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"47",2020-05-23,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"48",2020-05-24,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"49",2020-05-25,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"50",2020-05-26,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"51",2020-05-27,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"52",2020-05-28,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"53",2020-05-29,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"54",2020-05-30,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"55",2020-05-31,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"56",2020-06-01,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"57",2020-06-02,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"58",2020-06-03,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"59",2020-06-04,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"60",2020-06-05,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"61",2020-06-06,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"62",2020-06-07,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"63",2020-06-08,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"64",2020-06-09,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"65",2020-06-10,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"66",2020-06-11,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
"67",2020-06-12,0.0153723827193215,0,0,0,0.00562870940518463,0.00475640407195128,0.00650101473841798
