"","date","p_cases_infected","p_cases_recent","p_cases_active","p_cases_daily","p_cases_infected_smooth","p_cases_infected_smooth_low","p_cases_infected_smooth_high","p_cases_recent_smooth","p_cases_recent_smooth_low","p_cases_recent_smooth_high","p_cases_active_smooth","p_cases_active_smooth_low","p_cases_active_smooth_high"
"70",2020-05-31,0.0314430095451993,0,0,0,0.0290654531864139,0.0280270187146761,0.0301038876581517,4.74445584922292e-06,-0.000146355806220946,0.000155844717919392,1.93875920957841e-05,-0.000502331471622176,0.000541106655813744
"71",2020-06-01,0.0314430095451993,0,0,0,0.0290679501400812,0.0280294614958808,0.0301064387842817,5.18039979357813e-06,-0.000157723977754383,0.000168084777341539,2.07900160524139e-05,-0.000531612182343752,0.00057319221444858
"72",2020-06-02,0.0314430095451993,0,0,0,0.0290703003476523,0.0280317456785964,0.0301088550167082,5.65640041222002e-06,-0.000169945623516378,0.000181258424340818,2.22938859722357e-05,-0.000562500559112493,0.000607088331056964
"73",2020-06-03,0.0314430095451993,0,0,0,0.0290725396428377,0.0280338974039112,0.0301111818817642,6.1761383094457e-06,-0.000183081607448096,0.000195433884066987,2.39065400666364e-05,-0.000595075976767564,0.000642889056900837
"74",2020-06-04,0.0314430095451993,0,0,0,0.029074687917297,0.0280359345645736,0.0301134412700203,6.74363228158245e-06,-0.000197196772807764,0.000210684037370929,2.56358473650334e-05,-0.000629420881581514,0.000680692576311581
"75",2020-06-05,0.0314430095451993,0,0,0,0.0290767491137482,0.0280378667036425,0.0301156315238539,7.36327039173488e-06,-0.000212360159600007,0.000227086700383477,2.74902461122119e-05,-0.000665620820311045,0.000720601312535469
"76",2020-06-06,0.0314430095451993,0,0,0,0.0290787264830616,0.0280397021658178,0.0301177508003054,8.0398438998332e-06,-0.000228645228367718,0.000244724916167384,2.9478784943179e-05,-0.000703764457383287,0.000762722027269645
"77",2020-06-07,0.0314430095451993,0,0,0,0.0290806232777408,0.0280414485038214,0.0301197980516602,8.77858431034145e-06,-0.000246130089680381,0.000263687258301064,3.16111670364479e-05,-0.000743943578349645,0.000807165912422541
"78",2020-06-08,0.0314430095451993,0,0,0,0.0290824427518309,0.0280431125575128,0.0301217729461491,9.58520382409063e-06,-0.000264897738476625,0.000284068146124806,3.3897797461202e-05,-0.000786253077531287,0.00085404867245369
"79",2020-06-09,0.0314430095451993,0,0,0,0.0290841881608297,0.0280447005288296,0.0301236757928298,1.04659395070261e-05,-0.00028503629221609,0.000305968171230143,3.63498339493698e-05,-0.000830790927551843,0.000903490595450582
"80",2020-06-10,0.0323496027241771,0,0,0,0.0290858627616028,0.0280462180524466,0.030125507470759,1.14276015173961e-05,-0.000306639231562687,0.000329494434597479,3.89792413403577e-05,-0.000877658128202503,0.000955616610883218
