"","date","ccaa","reg_code","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"76",2020-04-15,"Canarias","ESCN",15,6,2213,114,67.7844367759612,1917.24306422624,1488.24306422624,0.00464405822899632,0.00456109501755435,0.00472853048474152,0.00014224802142218,0.000890337539676409,0.000691116683621139,2153389
"77",2020-04-16,"Canarias","ESCN",15,3,2228,117,68.5180264637096,1812.08158888493,1410.08158888493,0.00472613673798665,0.00464368101270868,0.00481005659196177,0.000145343609553177,0.000841502203682164,0.000654819723182821,2153389
"78",2020-04-17,"Canarias","ESCN",8,3,2236,120,36.949776370122,1637.47850749109,1278.47850749109,0.00479591123361784,0.00471414271967078,0.00487909805207342,7.92521679665183e-05,0.00076041927746965,0.000593705321003819,2153389
"79",2020-04-18,"Canarias","ESCN",9,1,2245,121,41.3582330302658,1556.85043374609,1216.85043374609,0.00479085825247484,0.00470974669981867,0.00487336671337122,8.8258989764288e-05,0.000722976867507955,0.000565086212359257,2153389
"80",2020-04-19,"Canarias","ESCN",15,1,2260,122,68.6365415225076,1384.2616802472,1082.2616802472,0.00480230878987702,0.00472157170681461,0.00488442644639806,0.000145846843654999,0.000642829363504319,0.000502585310989887,2153389
"81",2020-04-20,"Canarias","ESCN",16,1,2276,123,72.9519678845458,1296.20058913736,1012.20058913736,0.00481910952065634,0.0047386515619246,0.0049009335817568,0.000154465519764073,0.000601935177126549,0.000470050041649401,2153389
"82",2020-04-21,"Canarias","ESCN",7,3,2283,126,32.333561688417,1246.9071314369,972.907131436896,0.00489709949789153,0.00481711456284259,0.00497841252878526,6.93564032892648e-05,0.000579044070271046,0.000451802777592389,2153389
"83",2020-04-22,"Canarias","ESCN",7,3,2290,129,32.7552343785051,1141.46221081599,889.462210815991,0.00497617521078082,0.00489662024038725,0.00505702270397658,7.11771988373943e-05,0.00053007710674476,0.000413052268222783,2153389
"84",2020-04-23,"Canarias","ESCN",5,3,2295,132,23.7027523414444,1085.42169078533,845.421690785335,0.00505229817962428,0.00497319626604368,0.00513265826046743,5.2180118739331e-05,0.000504052770207954,0.000392600543044167,2153389
"85",2020-04-24,"Canarias","ESCN",11,4,2306,136,53.2249697623282,1077.82375793277,839.823757932768,0.00518154830159803,0.00510260343785221,0.00526171455979234,0.00011959572926045,0.000500524409631872,0.000390000951027783,2153389
"86",2020-04-25,"Canarias","ESCN",4,0,2310,136,19.1851040112955,979.108217642063,763.108217642063,0.00514509806009187,0.00506666706685056,0.00522474314942823,4.273127334683e-05,0.000454682464544057,0.000354375460096649,2153389
"87",2020-04-26,"Canarias","ESCN",2,1,2312,137,9.58349528141037,915.23954854941,713.23954854941,0.00514469078522756,0.00506676045507594,0.00522381973852534,2.13253113600968e-05,0.000425022858642544,0.000331217234113024,2153389
