"","countrycode","regioncode","provincecode","population","p_w_provs","p_m_provs","recent_p_w_provs","recent_p_m_provs","sumreach_provs","n_obs_provs","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs_rhs","p_m_regs_rhs","recent_p_w_regs_rhs","recent_p_m_regs_rhs","sumreach_regs_rhs1","sumreach_regs_rhs2","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","population_country","p_w_country_only","recent_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country"
"11","ES","ESAR","ESZ",964693,0.288461538461538,0.15,0,0,52,2,1319291,0.0519693654266958,0.0808008658008658,0.000770416024653313,0.000434782608695652,1828,30,0.210929072451094,0.109683117674569,0,0,52,52,0.0563661232805622,0.0815997365973725,0.000749106645248008,0.000422756706753006,47026208,0.106677202686685,0.00942507068803016,2531,30,0.0546484894730519,16661,0.00208483786211917,16661,0.0615099251308106,0.00305285210150958
"12","ES","ESAS","ESO",1022800,0.0284619594964423,0.0288888888888889,0.000652741514360313,4e-04,1827,30,1022800,0,0,0,0,0,0,0.0284619594964423,0.0288888888888889,0.000652741514360313,4e-04,1827,1827,0.0284619594964423,0.0288888888888889,0.000652741514360313,4e-04,47026208,0.106677202686685,0.00942507068803016,2531,30,0.0546484894730519,16661,0.00208483786211917,16661,0.0615099251308106,0.00305285210150958
"13","ES","ESCB","ESS",581078,0.03681592039801,0.0461367521367521,0,0,2010,30,581078,0,0,0,0,0,0,0.03681592039801,0.0461367521367521,0,0,2010,2010,0.03681592039801,0.0461367521367521,0,0,47026208,0.106677202686685,0.00942507068803016,2531,30,0.0546484894730519,16661,0.00208483786211917,16661,0.0615099251308106,0.00305285210150958
"14","ES","ESCE","ESCE",84777,0,0,0,0,100,1,84777,0,0,0,0,100,1,0,0,0,0,100,100,0,0,0,0,47026208,0.106677202686685,0.00942507068803016,2531,30,0.0546484894730519,16661,0.00208483786211917,16661,0.0615099251308106,0.00305285210150958
"15","ES","ESCL","ESAV",157640,0,0,0,0,0,0,2399548,0.056969696969697,0.0638736263736264,0.000611620795107034,0.00114942528735632,1650,30,0.0285364785367911,0.0285364785367911,0.000856622768889389,0.000856622768889389,95,90,0.055421756711172,0.0619498274942571,0.000624293310992328,0.00113428032950458,47026208,0.106677202686685,0.00942507068803016,2531,30,0.0546484894730519,16661,0.00208483786211917,16661,0.0615099251308106,0.00305285210150958
"16","ES","ESCL","ESLE",460001,0,0,0,0,0,0,2399548,0.056969696969697,0.0638736263736264,0.000611620795107034,0.00114942528735632,1650,30,0.0285364785367911,0.0285364785367911,0.000856622768889389,0.000856622768889389,95,90,0.055421756711172,0.0619498274942571,0.000624293310992328,0.00113428032950458,47026208,0.106677202686685,0.00942507068803016,2531,30,0.0546484894730519,16661,0.00208483786211917,16661,0.0615099251308106,0.00305285210150958
"17","ES","ESCL","ESP",160980,0,0,0,0,0,0,2399548,0.056969696969697,0.0638736263736264,0.000611620795107034,0.00114942528735632,1650,30,0.0285364785367911,0.0285364785367911,0.000856622768889389,0.000856622768889389,95,90,0.055421756711172,0.0619498274942571,0.000624293310992328,0.00113428032950458,47026208,0.106677202686685,0.00942507068803016,2531,30,0.0546484894730519,16661,0.00208483786211917,16661,0.0615099251308106,0.00305285210150958
"18","ES","ESCL","ESSG",153129,0.05,0.05,0,0,20,1,2399548,0.056969696969697,0.0638736263736264,0.000611620795107034,0.00114942528735632,1650,30,0.0285364785367911,0.0285364785367911,0.000856622768889389,0.000856622768889389,95,90,0.055421756711172,0.0619498274942571,0.000624293310992328,0.00113428032950458,47026208,0.106677202686685,0.00942507068803016,2531,30,0.0546484894730519,16661,0.00208483786211917,16661,0.0615099251308106,0.00305285210150958
"19","ES","ESCL","ESSA",330119,0,0,NA,NA,5,1,2399548,0.056969696969697,0.0638736263736264,0.000611620795107034,0.00114942528735632,1650,30,0.0285364785367911,0.0285364785367911,0.000856622768889389,0.000856622768889389,95,90,0.055421756711172,0.0619498274942571,0.000624293310992328,0.00113428032950458,47026208,0.106677202686685,0.00942507068803016,2531,30,0.0546484894730519,16661,0.00208483786211917,16661,0.0615099251308106,0.00305285210150958
"20","ES","ESCL","ESZA",172539,0,0,0,0,0,0,2399548,0.056969696969697,0.0638736263736264,0.000611620795107034,0.00114942528735632,1650,30,0.0285364785367911,0.0285364785367911,0.000856622768889389,0.000856622768889389,95,90,0.055421756711172,0.0619498274942571,0.000624293310992328,0.00113428032950458,47026208,0.106677202686685,0.00942507068803016,2531,30,0.0546484894730519,16661,0.00208483786211917,16661,0.0615099251308106,0.00305285210150958
