"date","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","cases_infect","cases_infect_undected","cases_symptom","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","p_infect","p_infect_undected","p_symptom","population"
"2020/03/14",12,0,82,1,16.485606538188,153.563154662206,106.563154662206,153.563154662206,106.563154662206,153.563154662206,2.20555652759589e-06,3.26066734107301e-07,1.49186626159173e-05,4.43413867215584e-07,2.20555652759589e-06,1.53051727729505e-06,2.20555652759589e-06,1.53051727729505e-06,2.20555652759589e-06,69625581
"2020/03/15",0,0,82,1,0,153.563154662206,108.563154662206,153.563154662206,108.563154662206,153.563154662206,2.07856933902015e-06,3.06540689791912e-07,1.40942153553824e-05,0,2.20555652759589e-06,1.55924235177594e-06,2.20555652759589e-06,1.55924235177594e-06,2.20555652759589e-06,69625581
"2020/03/16",32,0,114,1,25.2963443822105,178.859499044417,104.859499044417,178.859499044417,104.859499044417,178.859499044417,2.6958634044082e-06,3.96283460996831e-07,1.83395983192079e-05,5.98206044607966e-07,2.56887621583246e-06,1.50604846003966e-06,2.56887621583246e-06,1.50604846003966e-06,2.56887621583246e-06,69625581
"2020/03/17",63,0,177,1,90.1165786266471,268.976077671064,131.976077671064,268.976077671064,131.976077671064,268.976077671064,3.86317893233902e-06,5.65771066914264e-07,2.63784281947553e-05,1.96687270059286e-06,3.86317893233902e-06,1.89551133039829e-06,3.86317893233902e-06,1.89551133039829e-06,3.86317893233902e-06,69625581
"2020/03/18",0,0,177,1,0,268.976077671064,131.976077671064,268.976077671064,131.976077671064,268.976077671064,3.45504948061883e-06,5.04054146653085e-07,2.36827074884483e-05,0,3.86317893233902e-06,1.89551133039829e-06,3.86317893233902e-06,1.89551133039829e-06,3.86317893233902e-06,69625581
"2020/03/19",0,0,177,1,0,268.976077671064,133.976077671064,268.976077671064,133.976077671064,268.976077671064,3.00056927167756e-06,4.35632483844592e-07,2.06674577494259e-05,0,3.86317893233902e-06,1.92423640487917e-06,3.86317893233902e-06,1.92423640487917e-06,3.86317893233902e-06,69625581
"2020/03/20",35,0,212,1,0,175.602401766826,5.60240176682643,175.602401766826,5.60240176682643,268.976077671064,3.12209817186519e-06,4.51229773817294e-07,2.16020696336203e-05,0,2.52209603488733e-06,8.04647040119699e-08,2.52209603488733e-06,8.04647040119699e-08,3.86317893233902e-06,69625581
"2020/03/21",154,0,366,1,0,175.483581031158,-147.516418968842,175.483581031158,-147.516418968842,268.976077671064,4.72106772919087e-06,6.80003744098276e-07,3.27769967401624e-05,0,2.52038946764636e-06,-2.11871006101682e-06,2.52038946764636e-06,-2.11871006101682e-06,3.86317893233902e-06,69625581
"2020/03/22",233,0,599,1,113.315431900861,282.320096391104,-269.679903608896,282.320096391104,-269.679903608896,382.291509571925,6.64460711893568e-06,9.53865251270556e-07,4.6286206260477e-05,1.62749711059303e-06,4.05483289814277e-06,-3.87328765858192e-06,4.05483289814277e-06,-3.87328765858192e-06,5.49067604293205e-06,69625581
"2020/03/23",122,0,721,1,70.0987061933661,348.466267163792,-322.533732836208,348.466267163792,-322.533732836208,452.390215765291,6.49747132114116e-06,9.29198454323265e-07,4.54339257374234e-05,1.00679527820911e-06,5.00485973917822e-06,-4.63240274915922e-06,5.00485973917822e-06,-4.63240274915922e-06,6.49747132114116e-06,69625581
"2020/03/24",106,3,827,4,1157.42476807256,1490.39899864762,722.398998647619,1490.39899864762,722.398998647619,1609.81498383785,2.31210276555948e-05,1.4325015727598e-05,3.73180686162092e-05,3.23589480917486e-05,2.14059111211958e-05,1.03754825205354e-05,2.14059111211958e-05,1.03754825205354e-05,2.31210276555948e-05,69625581
"2020/03/25",107,0,934,4,0,1472.73743571384,608.737435713836,1472.73743571384,608.737435713836,1609.81498383785,2.01837407255027e-05,1.2467725092717e-05,3.26750378793876e-05,0,2.11522462658349e-05,8.74301409009191e-06,2.11522462658349e-05,8.74301409009191e-06,2.31210276555948e-05,69625581
