"date","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","cases_infect","cases_infect_undected","cases_symptom","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","p_infect","p_infect_undected","p_symptom","population"
"2020/07/21",389,2,107037,159,123.048644067541,1164.29109639386,-4319.70890360614,1164.29109639386,-4319.70890360614,2469.46468634903,0.00439378348324013,0.00433184668002265,0.00445660585971911,4.34482906917028e-05,0.000411109430658291,-0.00152528270075367,0.000411109430658291,-0.00152528270075367,0.000871964257375269,2832071
"2020/07/22",393,1,107430,160,47.6736224110664,937.397615321288,-4382.60238467871,937.397615321288,-4382.60238467871,2316.38156225415,0.00441061696743281,0.00434877738169945,0.00447333591166813,1.68334841926867e-05,0.000330993684593814,-0.00154749029409175,0.000330993684593814,-0.00154749029409175,0.000817910837070876,2832071
"2020/07/23",441,3,107871,163,211.550416383097,876.715204276532,-4364.28479572347,876.715204276532,-4364.28479572347,2433.01656777081,0.00448531510048919,0.00442342488451691,0.00454807125155319,7.46981330563737e-05,0.000309566816748779,-0.00154102238105029,0.000309566816748779,-0.00154102238105029,0.000859094481660526,2832071
"2020/07/24",373,1,108244,164,49.5167087901409,926.231913066673,-4189.76808693333,926.231913066673,-4189.76808693333,2127.06157668759,0.00450279937570338,0.004440993016651,0.00456546590859639,1.74842752141952e-05,0.000327051091962974,-0.00147940079430683,0.000327051091962974,-0.00147940079430683,0.000751062235617535,2832071
"2020/07/25",394,0,108638,164,0,926.231913066673,-4113.76808693333,926.231913066673,-4113.76808693333,1778.44089901889,0.00449439137661237,0.00443269995538916,0.004556941378721,0,0.000327051091962974,-0.00145256530889703,0.000327051091962974,-0.00145256530889703,0.000627964799971079,2832071
"2020/07/26",398,0,109036,164,0,910.215762720067,-4109.78423727993,910.215762720067,-4109.78423727993,1751.11378968809,0.00448684649846152,0.00442525818525624,0.00454929196398756,0,0.000321395813424193,-0.00145115861759113,0.000321395813424193,-0.00145115861759113,0.000618315638869256,2832071
"2020/07/27",269,1,109305,165,0,795.54983572612,-3976.45016427388,795.54983572612,-3976.45016427388,1473.03184397816,0.00450193433370144,0.00444046009548752,0.00456425962831103,0,0.000280907447492002,-0.00140407855744926,0.000280907447492002,-0.00140407855744926,0.000520125323121546,2832071
"2020/07/28",292,0,109597,165,0,756.748913012452,-3857.25108698755,756.748913012452,-3857.25108698755,1198.46474049453,0.00449130910745281,0.00442997953237922,0.0045534877421555,0,0.000267206900184512,-0.00136198954298376,0.000267206900184512,-0.00136198954298376,0.000423176092864383,2832071
"2020/07/29",283,2,109880,167,0,713.29355043551,-3719.70644956449,713.29355043551,-3719.70644956449,926.231913066673,0.00453542290325167,0.00447412698325266,0.00459755858256519,0,0.000251862877179107,-0.00131342273889478,0.000251862877179107,-0.00131342273889478,0.000327051091962974,2832071
"2020/07/30",273,2,110153,169,206.217143480268,874.732810369818,-3380.26718963018,874.732810369818,-3380.26718963018,1132.44905654694,0.00457970699717622,0.00451843972163467,0.00464180501945414,7.28149624357114e-05,0.000308866836449304,-0.00119356724800691,0.000308866836449304,-0.00119356724800691,0.000399866054398686,2832071
"2020/07/31",307,2,110460,171,142.721442424707,974.789671518889,-3177.21032848111,974.789671518889,-3177.21032848111,1275.17049897165,0.00462600906426874,0.00456474111638756,0.00468809935044728,5.03947261296439e-05,0.000344196763258721,-0.00112186817649738,0.000344196763258721,-0.00112186817649738,0.00045026078052833,2832071
"2020/08/01",235,3,110695,174,200.629761052087,981.357738608907,-3065.64226139109,981.357738608907,-3065.64226139109,1459.78410967713,0.00469685113039352,0.0046355605502654,0.00475895208397523,7.08420661247853e-05,0.000346515937845099,-0.00108247366022642,0.000346515937845099,-0.00108247366022642,0.000515447568114333,2832071
"2020/08/02",216,0,110911,174,0,858.309094541366,-3015.69090545863,858.309094541366,-3015.69090545863,1345.11818268318,0.00468647808403558,0.00462532250647053,0.00474844225487432,0,0.000303067647153396,-0.00106483591176162,0.000303067647153396,-0.00106483591176162,0.000474959202182142,2832071
"2020/08/03",196,3,111107,177,139.999358924644,950.634831054944,-2726.36516894506,950.634831054944,-2726.36516894506,1446.31661889416,0.0047566577393015,0.00469548239612447,0.0048186301087044,4.94335625500364e-05,0.000335667725510746,-0.000962675430434144,0.000335667725510746,-0.000962675430434144,0.000510692217424689,2832071
"2020/08/04",215,0,111322,177,3.90245530785251,742.986869979699,-2708.0131300203,742.986869979699,-2708.0131300203,1406.76371162507,0.00474766264402877,0.00468660265472515,0.00480951816104585,1.37795108521379e-06,0.000262347543539586,-0.000956195353160391,0.000262347543539586,-0.000956195353160391,0.000496726145504498,2832071
"2020/08/05",216,0,111538,177,0,693.470161189558,-2600.52983881044,693.470161189558,-2600.52983881044,1361.98582807911,0.00473950757447437,0.00467855215286515,0.0048012571655835,0,0.000244863268325391,-0.000918243165093828,0.000244863268325391,-0.000918243165093828,0.000480915142338984,2832071
"2020/08/06",267,1,111805,178,14.6630502231128,708.133211412671,-2458.86678858733,708.133211412671,-2458.86678858733,1333.98429702659,0.00476099521450852,0.00470005551846471,0.00482272503878365,5.17750092533443e-06,0.000250040769250725,-0.000868222155654759,0.000250040769250725,-0.000868222155654759,0.000471027843944091,2832071
"2020/08/07",287,0,112092,178,12.2727743321338,720.405985744805,-2335.5940142552,720.405985744805,-2335.5940142552,1152.19537739665,0.00475717364306631,0.00469628257359702,0.00481885421407923,4.33349811220617e-06,0.000254374267362931,-0.000824694724904565,0.000254374267362931,-0.000824694724904565,0.00040683845051789,2832071
"2020/08/08",291,2,112383,180,142.237510866209,862.643496611014,-2215.35650338899,862.643496611014,-2215.35650338899,1171.38424419532,0.00480739749369231,0.00474644396227847,0.00486913378647894,5.02238506259939e-05,0.000304598117988925,-0.000782239041107722,0.000304598117988925,-0.000782239041107722,0.000413614010452181,2832071
"2020/08/09",267,2,112650,182,140.046528866973,1002.69002547799,-2050.30997452201,1002.69002547799,-2050.30997452201,1263.75715065122,0.00485684771187786,0.00479584074453542,0.0049186307371135,4.94502181855515e-05,0.000354048336174477,-0.000723961360616317,0.000354048336174477,-0.000723961360616317,0.000446230744445046,2832071
"2020/08/10",297,2,112947,184,144.242244757461,1146.93227023545,-1920.06772976455,1146.93227023545,-1920.06772976455,1196.44897902559,0.00490777943101819,0.004846699740354,0.00496962886786255,5.09317191403255e-05,0.000404980055314802,-0.000677973020367269,0.000404980055314802,-0.000677973020367269,0.000422464330528997,2832071
"2020/08/11",315,4,113262,188,297.963878882903,1238.67900563808,-1870.32099436192,1238.67900563808,-1870.32099436192,1444.89614911835,0.00501299002739197,0.00495172280589588,0.00507501530271639,0.000105210596373786,0.000437375689252876,-0.000660407523103028,0.000437375689252876,-0.000660407523103028,0.000510190651688588,2832071
"2020/08/12",384,0,113646,188,4.82535367964738,1100.78291689302,-2085.21708310698,1100.78291689302,-2085.21708310698,1449.721502798,0.00501469385250075,0.00495340553532759,0.00507674048792489,1.70382510877989e-06,0.000388684788232013,-0.00073628700802592,0.000388684788232013,-0.00073628700802592,0.000511894476797368,2832071
