"date","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","cases_infect","cases_symptom","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","p_infect","p_symptom","population"
"2020/04/11",36,0,480,3,43.5002925574928,476.482366468389,161.482366468389,476.482366468389,650.082203370966,2.25537177635297e-05,1.18409750941107e-05,4.29584709801434e-05,2.04394441869305e-06,1.85282354108715e-05,6.2793159016713e-06,1.85282354108715e-05,2.52787447093793e-05,25716554
"2020/04/12",53,1,533,4,76.2175807134009,547.218202242158,182.218202242158,547.218202242158,678.299784084367,2.98053156661619e-05,1.84027522543335e-05,4.82730425146253e-05,4.26208077387259e-06,2.12788308356617e-05,7.0856383884932e-06,2.12788308356617e-05,2.63759982804993e-05,25716554
"2020/04/13",41,1,574,5,65.906261093972,613.12446333613,207.12446333613,613.12446333613,737.206045178339,3.58791327685509e-05,2.44096240836079e-05,5.27378940295842e-05,4.11961583984216e-06,2.38416260334153e-05,8.05412977711284e-06,2.38416260334153e-05,2.86665952669374e-05,25716554
"2020/04/14",52,1,626,6,89.9461285794978,676.472177816635,240.472177816635,676.472177816635,811.152173757837,4.21056806225982e-05,3.05521563685405e-05,5.80282556591581e-05,6.04990888691292e-06,2.6304930972347e-05,9.35087095326362e-06,2.6304930972347e-05,3.15420244002302e-05,25716554
"2020/04/15",0,0,626,6,0,672.349089156915,240.349089156915,672.349089156915,806.152173757837,3.78994759031548e-05,2.74785640886331e-05,5.2272392003481e-05,0,2.61446027783083e-05,9.34608459426233e-06,2.61446027783083e-05,3.13475971064333e-05,25716554
"2020/04/16",28,0,654,6,39.485926454378,687.835015611293,251.835015611293,687.835015611293,806.638100212215,3.58632196616057e-05,2.59850071743952e-05,4.94966391913846e-05,2.16527898161371e-06,2.67467801328006e-05,9.79272011371716e-06,2.67467801328006e-05,3.13664925795351e-05,25716554
"2020/04/17",34,0,688,6,43.8292250529223,688.849107622871,245.849107622871,688.849107622871,791.86748836256,3.44874068234192e-05,2.49744699571268e-05,4.76238827669139e-05,2.19702952784205e-06,2.6786213565895e-05,9.55995533549599e-06,2.6786213565895e-05,3.07921305616048e-05,25716554
"2020/04/18",54,0,742,6,64.1408289276698,719.088781048017,238.088781048017,719.088781048017,850.526572350598,3.42714074829511e-05,2.48066171104851e-05,4.73474220862638e-05,2.96252895481729e-06,2.79620971397652e-05,9.25819147651032e-06,2.79620971397652e-05,3.30731159528838e-05,25716554
"2020/04/19",59,2,801,8,86.5602612527731,688.045267466715,210.045267466715,688.045267466715,937.086833603372,4.56968527251669e-05,3.58771986709076e-05,5.82041638239412e-05,4.93824158591753e-06,2.67549558726537e-05,8.16770658567689e-06,2.67549558726537e-05,3.64390514220285e-05,25716554
"2020/04/20",46,1,847,9,70.5165117744091,714.388060965453,216.388060965453,714.388060965453,981.004931278788,5.04897972425656e-05,4.07198535004384e-05,6.26038506147362e-05,4.20349986038123e-06,2.77793074828553e-05,8.41434902069122e-06,2.77793074828553e-05,3.81468267979756e-05,25716554
